"あ","ア"
"こるのぐらんで","コルノグランデ"
"こるのさん","コルノ山"
"ごるのばだふしゃんじちしゅう","ゴルノバダフシャン自治州"
"ごるぱらけん","ゴルパラ県"
"ごるびー","ゴルビー"
"こるひかむ","コルヒカム"
"こるひだていち","コルヒダ低地"
"こるひちん","コルヒチン"
"こるびゅじえ","コルビュジエ"
"ごるふ","ゴルフ"
"ごるふ","ゴルフ"
"こるふぁくす","コルファクス"
"こるぷる","コルプル"
"こるぷるばざーる","コルプル・バザール"
"こるべっと","コルベット"
"こるべっとかん","コルベット艦"
"こるべん","コルベン"
"こるぼ","コルボ"
"こるぼ","コルボ"
"こるぼいんぺりあーれ","コルボインペリアーレ"
"こるほご","コルホゴ"
"こるほーず","コルホーズ"
"こるま","コルマ"
"こるまーる","コルマール"
"こるらし","コルラ市"
"こーるらび","コールラビ"
"こーるりっじ","コールリッジ"
"これ","コレ"
"これ","コレ"
"これあーの","コレアーノ"
"これい","古隷"
"これうす","コレウス"
"これお","コレオ"
"これおあるへんてぃーの","コレオ・アルヘンティノ"
"これかわいせき","是川遺跡"
"これくた","コレクタ"
"これくたー","コレクター"
"これしすと","コレシスト"
"これしすとかいにん","コレシストカイニン"
"これしすときにん","コレシストキニン"
"これじよ","コレジヨ"
"これーずけん","コレーズ県"
"ごれすたーんしゅう","ゴレスターン州"
"これすてりん","コレステリン"
"これっと","コレット"
"これっと","コレット"
"これっと","コレット"
"ごれとう","ゴレ島"
"これどにほんばし","コレド日本橋"
"これはるじょう","伊治城"
"これひどーる","コレヒドール"
"これまさえき","是政駅"
"ごーれむ","ゴーレム"
"これりさいあしす","コレリサイアシス"
"これんげさん","小蓮華山"
"ころ","ころ"
"ころ","コロ"
"ころ","葫蘆"
"ころー","コロー"
"ころー","コロー"
"ごろう","語漏"
"ごろうがたけ","五老岳"
"ごろか","ゴロカ"
"ころがき","転柿"
"ころく","コロク"
"ころくがつ","小六月"
"ごろくちべっとぞくじちしゅう","ゴロクチベット族自治州"
"ころしゅかちほう","コロシュカ地方"
"ころす","コロス"
"ごろたいし","ごろた石"
"ごろたいし","ごろた石"
"ころっけのうた","コロッケの唄"
"ころっさす","コロッサス"
"ころっそ","コロッソ"
"ころとう","葫蘆島"
"ころとうし","葫蘆島市"
"ころな","コロナ"
"ころなだる","コロナダル"
"ころなど","コロナド"
"ころにー","コロニー"
"ころにあ","コロニア"
"ころーにゅ","コローニュ"
"ころぬす","コロヌス"
"ころねっと","コロネット"
"ころねっとさくせん","コロネット作戦"
"ころねーど","コロネード"
"ころねるぽるてぃりょぐん","コロネル・ポルティリョ郡"
"ころはせ","崑崙八仙"
"ころふぉにー","コロフォニー"
"ころぷーな","コロプーナ"
"ころぼっくる","コロボックル"
"ころぽっくる","コロポックル"
"ころぽっくるせつ","コロポックル説"
"ころほにうむ","コロホニウム"
"ころまんでる","コロマンデル"
"ころまんでるかいがん","コロマンデル海岸"
"ころまんでるはんとう","コロマンデル半島"
"ころもがわむら","衣川村"
"ころもし","挙母市"
"ころらど","コロラド"
"ころらどぐん","コロラド郡"
"ころらどしてぃー","コロラドシティー"
"ころらどしゅう","コロラド州"
"ころらどすぷりんぐす","コロラドスプリングス"
"ころりょふ","コロリョフ"
"ころりょふ","コロリョフ"
"ころーる","コロール"
"ころーるとう","コロール島"
"ころわんとう","コロワン島"
"ころん","コロン"
"ころん","コロン"
"ころん","コロン"
"ころんげきざしょう","コロン劇場"
"ころんごぐん","コロンゴ郡"
"ころんしょとう","コロン諸島"
"ごろんどりーな","ゴロンドリーナ"
"ころんなーと","コロンナート"
"ころんば","コロンバ"
"ころんばいん","コロンバイン"
"ころんばいん","コロンバイン"
"ころんばいんばれー","コロンバインバレー"
"ころんばいんひるず","コロンバインヒルズ"
"ころんばす","コロンバス"
"ころんびあ","コロンビア"
"ころんびあ","コロンビア"
"ころんびあえいがしゃ","コロムビア映画社"
"ころんびあかいぼん","コロンビア海盆"
"ころんびあかくめいぐん","コロンビア革命軍"
"ころんびあがわ","コロンビア川"
"ころんびあぐん","コロンビア郡"
"ころんびあだいがく","コロンビア大学"
"ころんびお","コロンビオ"
"ころんびーな","コロンビーナ"
"ころんぶ","コロンブ"
"ころんぶ","コロンブ"
"ころんぶす","コロンブス"
"ころんぶすでー","コロンブス・デー"
"ころんぼ","コロンボ"
"ころんぼ","コロンボ"
"ころんぼ","コロンボ"
"ころんぼ","コロンボ"
"ころんぼかいぎ","コロンボ会議"
"ころんぼぐるーぷ","コロンボ・グループ"
"ころんぼけいかく","コロンボ計画"
"ころんぼけん","コロンボ県"
"ころんぼこん","コロンボ根"
"ころんぼぷらん","コロンボ・プラン"
"こわくだに","小涌谷"
"こわくだにえき","小涌谷駅"
"こわくだにおんせん","小涌谷温泉"
"こわたえき","木幡駅"
"こわだえき","小和田駅"
"こわっぱ","小わっぱ"
"こわらわ","子童"
"こわれかけのれでぃお","壊れかけのＲａｄｉｏ"
"こわんちょうし","コワンチョウ市"
"こん","坤"
"こん","紺"
"こん","棍"
"こーん","コーン"
"ごん","ゴン"
"ごん","権"
"こんい","婚衣"
"こんいろ","紺色"
"こんいんしょく","婚姻色"
"こんいんてきれい","婚姻適齢"
"こんう","婚羽"
"こんうぇー","コンウェー"
"こんうぇい","コンウェイ"
"こーんうぉりす","コーンウォリス"
"こーんうぉーる","コーンウォール"
"こーんうぉーるしゅう","コーンウォール州"
"こんか","コンカ"
"こんがみ","紺紙"
"こんがら","矜羯羅"
"こんがらどうじ","矜羯羅童子"
"こんかん","コンカン"
"こんぎ","渾儀"
"こんきし","コンキシ"
"こんきすたどーる","コンキスタドール"
"こんきすたどれす","コンキスタドレス"
"こんきすたどーれす","コンキスタドーレス"
"こんきゅう","崑丘"
"ごんぎょう","勤行"
"こんきりえ","コンキリエ"
"こんぎーる","コンギール"
"こんく","金口"
"ごんぐじょうど","欣求浄土"
"こんくのせっぽう","金口の説法"
"こんぐらちゅれーしょん","コングラチュレーション"
"こんくり","コンクリ"
"こんくりし","混凝紙"
"こんくりーと","コンクリート"
"こんくりーと","コンクリート"
"こんくりーとみきさー","コンクリートミキサー"
"こんくーる","コンクール"
"こんぐーる","コングール"
"ごんくーる","ゴンクール"
"ごんくーる","ゴンクール"
"ごんくーるしょう","ゴンクール賞"
"こんぐれす","コングレス"
"ごんげ","権化"
"こんけつ","混血"
"こんげーむ","コンゲーム"
"こんけん","コンケン"
"こーんけーん","コーンケーン"
"ごんげん","権現"
"こんけんけん","コンケン県"
"こーんけーんけん","コーンケーン県"
"ごんげんさま","権現様"
"ごんげんやま","権現山"
"こんご","コンゴ"
"こんごあいこくしゃれんごう","コンゴ愛国者連合"
"こんこう","混交"
"こんごう","こんごう"
"こんごう","金剛"
"こんごうかいだいにち","金剛界大日"
"こんごうぐん","金剛郡"
"こんごうさ","金剛砂"
"こんごうさん","金剛山"
"こんごうざん","金剛山"
"こんごうさんち","金剛山地"
"こんごうじ","金剛寺"
"こんごうしゅ","金剛手"
"こんごうじん","金剛神"
"こんごうせき","金剛石"
"こんごうせん","金剛山"
"こんごうだいしょう","金剛大将"
"こんごうりきし","金剛力士"
"こんごうりんじ","金剛輪寺"
"こんごうりんせん","金剛輪山"
"こんごがわ","コンゴ川"
"こんごきょうわこく","コンゴ共和国"
"こんごじゆうこく","コンゴ自由国"
"こんごじんみんきょうわこく","コンゴ人民共和国"
"こんこーす","コンコース"
"こんこーど","コンコード"
"こんこーど","コンコード"
"こんごぶらざびる","コンゴ・ブラザビル"
"こんごみんしゅきょうわこく","コンゴ民主共和国"
"こんこるでぃあ","コンコルディア"
"こんこるでぃあ","コンコルディア"
"こんこるど","コンコルド"
"こんこるどすきー","コンコルドスキー"
"こんこるどひろば","コンコルド広場"
"こんこん","こんこん"
"こんこん","コンコン"
"こんこん","滾滾"
"こんこん","渾渾"
"こんこんとんとん","渾渾沌沌"
"こんさい","根菜"
"こんさいるい","根菜類"
"ごんさく","勤策"
"ごんさくなん","勤策男"
"こんさばてぃぶ","コンサバティブ"
"こんさばとりー","コンサバトリー"
"こんさる","コンサル"
"ごんざれす","ゴンザレス"
"ごんざれすぐん","ゴンザレス郡"
"こんさん","混酸"
"こんざん","崑山"
"こんざんし","昆山市"
"こんし","紺紙"
"こんじ","根治"
"こんしぇるじぇ","コンシェルジェ"
"こんしぇるじゅ","コンシェルジュ"
"こんじきやしゃ","金色夜叉"
"こんしきんでい","紺紙金泥"
"こんしこんでい","紺紙金泥"
"ごんじなん","近事男"
"こんじゃくものがたり","今昔物語"
"こんじゅし","コンジュ市"
"こんしゅつよう","根出葉"
"こんじょう","今生"
"こんじょう","混乗"
"こんじょう","紺青"
"こんじょうなし","根性なし"
"こんじょうやき","根性焼き"
"こんじん","金神"
"こんじんならく","金神奈落"
"こんじんのまび","金神の間日"
"こーんすたーち","コーンスターチ"
"こんすたぶる","コンスタブル"
"こんすたんたん","コンスタンタン"
"こんすたんちのーぷる","コンスタンチノープル"
"こんすたんつあ","コンスタンツア"
"こんすたんつぁ","コンスタンツァ"
"こんすたんつぁけん","コンスタンツァ県"
"こんすたんつこ","コンスタンツ湖"
"こんすたんてぃあな","コンスタンティアナ"
"こんすたんてぃーぬ","コンスタンティーヌ"
"こんすたんてぃーぬけん","コンスタンティーヌ県"
"こんすたんてぃのーぷる","コンスタンティノープル"
"こんすたんてぃのぽりす","コンスタンティノポリス"
"こんすたんと","コンスタント"
"こんすてぃちゅーしょなりてぃー","コンスティチューショナリティー"
"こんすてぃちゅーしょん","コンスティチューション"
"こんすてぃぱしおん","コンスティパシオン"
"こんすてぃぺいしょん","コンスティペイション"
"こんすてれーしょん","コンステレーション"
"こんする","コンスル"
"こんする","コンスル"
"こんせい","混成"
"こんせいだん","混成団"
"こんせいりょだん","混成旅団"
"ごんせき","権蹟"
"こんせききかん","痕跡器官"
"ごんぜつ","ゴンゼツ"
"ごんぜつのき","ゴンゼツノキ"
"こんせぷしおん","コンセプシオン"
"こんせぷしおんけん","コンセプシオン県"
"こんせぷしょん","コンセプション"
"こんせぷと","コンセプト"
"こんせるヴぁとわーる","コンセルヴァトワール"
"こんせるばとあーる","コンセルバトアール"
"こんせるばとわーる","コンセルバトワール"
"こんせん","金仙"
"こんせんげんや","根釧原野"
"こんせんさす","コンセンサス"
"こんせんだいち","根釧台地"
"こんせんと","コンセント"
"こんせんとりっく","コンセントリック"
"こんせんとれーしょん","コンセントレーション"
"ごんそく","勤息"
"こんそめ","コンソメ"
"こんそーる","コンソール"
"こんそーるてーぶる","コンソール・テーブル"
"こんそーるぱねる","コンソール・パネル"
"こんそん","昆孫"
"こんそん","コンソン"
"こんたー","コンター"
"こんだー","コンダー"
"こんたくとしーと","コンタクトシート"
"こんだくりゅう","混濁流"
"こんだごびょうやまこふん","誉田御廟山古墳"
"こんたす","コンタス"
"こんだちょう","今田町"
"こんたつ","コンタツ"
"こんたっくす","コンタックス"
"こんたみ","コンタミ"
"こんたみねーしょん","コンタミネーション"
"ごんだやまこふん","誉田山古墳"
"こんたーらいん","コンターライン"
"こんたんりょくし","紺丹緑紫"
"こんち","根治"
"こんちねんたる","コンチネンタル"
"こんちねんたるこうくう","コンチネンタル航空"
"こんちねんたるたんご","コンチネンタルタンゴ"
"こんちょー","コンチョー"
"こんつぇるん","コンツェルン"
"こんて","コンテ"
"こんて","コンテ"
"こんて","コンテ"
"こんてぃにゅー","コンティニュー"
"こんてぃにゅー","コンティニュイティ"
"こんてぃにゅーぶん","コンティニュー文"
"こんでぃめんつ","コンディメンツ"
"こんでぃめんと","コンディメント"
"こんでぃやっく","コンディヤック"
"こんてくれよん","コンテ・クレヨン"
"こんてすてぃっく","コンテ・スティック"
"こんてすと","コンテスト"
"こんてっさ","コンテッサ"
"こんてな","コンテナ"
"こんてなー","コンテナー"
"こんでる","コンデル"
"こんてん","渾天"
"こんてんぎ","渾天儀"
"こんでんさー","コンデンサー"
"ごんてんし","権天使"
"こんでんせーと","コンデンセート"
"こんてんつ","コンテンツ"
"こんと","コント"
"こんと","コント"
"こんとあー","コントアー"
"こんどぅーず","コンドゥーズ"
"こんどぅーずしゅう","コンドゥーズ州"
"こんとぅん","コントゥン"
"こんとぅんしょう","コントゥン省"
"こんとーしょにすと","コントーショニスト"
"こんとーしょん","コントーション"
"こーんどびーふ","コーンドビーフ"
"こんどみにあむ","コンドミニアム"
"こんとら","コントラ"
"ごんどら","ゴンドラ"
"こんどらいと","コンドライト"
"こんとらえすぴおなーじゅ","コントラエスピオナージュ"
"こんとらえすぴおなっへ","コントラエスピオナッヘ"
"こんとらこすたぐん","コントラコスタ郡"
"ごんどらのうた","ゴンドラの唄"
"こんとらべんしょん","コントラベンション"
"こんとらると","コントラルト"
"ごんどりえーれ","ゴンドリエーレ"
"こんどりおぞーむ","コンドリオゾーム"
"こんとりびゅーしょん","コントリビューション"
"こんどりゅーる","コンドリュール"
"こんどる","コンドル"
"こんどる","コンドル"
"こんどるせ","コンドルセ"
"こんどるはとんでいく","コンドルは飛んで行く"
"こんどるーる","コンドルール"
"こんどろいちんりゅうさん","コンドロイチン硫酸"
"こんとろすぴおなっじょ","コントロスピオナッジョ"
"ごんどわなたいりく","ゴンドワナ大陸"
"こんにちはあかちゃん","こんにちは赤ちゃん"
"こんにゃくいも","コンニャクイモ"
"こんにゃくえんま","こんにゃく閻魔"
"こんにゃくじま","蒟蒻島"
"こんにゃくばたけ","蒟蒻畑"
"こんぱ","コンパ"
"こーんぱいぷ","コーンパイプ"
"こんぱいら","コンパイラ"
"こんぱいらー","コンパイラー"
"こんぱいる","コンパイル"
"こんばいん","コンバイン"
"こんぱく","魂魄"
"こんぱくしょん","コンパクション"
"こんばーじょん","コンバージョン"
"こんばーじょんれんず","コンバージョンレンズ"
"こんぱす","コンパス"
"こんばーたー","コンバーター"
"こんばーたーれんず","コンバーターレンズ"
"こんばち","コンバチ"
"こんばちぶる","コンバチブル"
"こんばーちぶる","コンバーチブル"
"こんばちぶるましん","コンバチブルマシン"
"こんばっと","コンバット"
"こんばっと","コンバット"
"こんばーてぃぶる","コンバーティブル"
"こんばてぃぶるましん","コンバティブルマシン"
"こんばーと","コンバート"
"こんぱーとめんと","コンパートメント"
"こんぱる","コンパル"
"こんびあさこうくう","コンビアサ航空"
"こんびあん","コンビアン"
"こんぴえーにゅ","コンピエーニュ"
"こんびくしょん","コンビクション"
"こんびくしょん","コンビクション"
"こんびくと","コンビクト"
"こんぴてんしー","コンピテンシー"
"こんぴてんす","コンピテンス"
"こんびに","コンビニ"
"こんびにえんすすとあ","コンビニエンスストア"
"こんびびる","コンビビル"
"こんびーふ","コンビーフ"
"こーんびーふ","コーンビーフ"
"こんぴゅーた","コンピュータ"
"こんぴゅーたういるす","コンピュータウイルス"
"こんぴゅーたーるーむ","コンピューター・ルーム"
"こんぴら","金毘羅"
"こんぴらふねふね","金毘羅船船"
"こんぴらやま","金毘羅山"
"こんふぁれんす","コンファレンス"
"こんふぃちゅーる","コンフィチュール"
"こんふぃでんしゃる","コンフィデンシャル"
"こんふぃでんすげーむ","コンフィデンスゲーム"
"こんふぃでんすとりっく","コンフィデンストリック"
"こんふぇくしょなりー","コンフェクショナリー"
"こんふぇくしょん","コンフェクション"
"こんふぇくしょん","コンフェクション"
"こんふぇってぃえーら","コンフェッティエーラ"
"こんふぇっと","コンフェット"
"こんふぉーす","コーンフォース"
"こんふぉーす","コーンフォース"
"こんふぉーたぶる","コンフォータブル"
"こんふぉーと","コンフォート"
"こんふぉーと","コンフォート"
"こんぶだけ","昆布岳"
"こんふゅーじょん","コンフュージョン"
"こんぷら","コンプラ"
"こんぷらいあんす","コンプライアンス"
"こんぷらどーる","コンプラドール"
"こんふりー","コンフリー"
"こんぷりん","コンプリン"
"こーんふれーく","コーンフレーク"
"こーんふれーくす","コーンフレークス"
"こんぺ","コンペ"
"ごんべ","ゴンベ"
"こんべあ","コンベア"
"こんぺあ","コンペア"
"ごんべえ","権兵衛"
"ごんぺえさんのあかちゃん","権兵衛さんの赤ちゃん"
"こんぺきかいがん","紺碧海岸"
"ごんべしゅう","ゴンベ州"
"こんぺてぃしょん","コンペティション"
"こんぺてぃてぃぶぷれぜんてーしょん","コンペティティブ・プレゼンテーション"
"こんべやー","コンベヤー"
"こんべやーべると","コンベヤー・ベルト"
"こんべんしょん","コンベンション"
"こんぽじしょん","コンポジション"
"こんぽじしょんしーふぉー","コンポジションＣ－４"
"こんぽじっと","コンポジット"
"こんぽじっとほそう","コンポジット舗装"
"こんぽすてーらのやこぶ","コンポステーラのヤコブ"
"こんぽすてらばれーしゅう","コンポステラ・バレー州"
"こんぽーと","コンポート"
"こーんぽぴー","コーンポピー"
"こんぼりゅーしょん","コンボリューション"
"こんぽんちゃむ","コンポンチャム"
"こんぽんちゃむしゅう","コンポンチャム州"
"こんぽんぼんのう","根本煩悩"
"こんま","コンマ"
"こんま","羯磨"
"こんみゅーん","コンミューン"
"こんみん","昏眠"
"こんみんがい","昏眠蓋"
"こんめい","昆明"
"こんめいし","昆明市"
"こんめいち","昆明池"
"こんもう","昏蒙"
"こんもう","昏蒙"
"こんや","コンヤ"
"こんやけん","コンヤ県"
"こんやのしらばかま","紺屋の白袴"
"こんやのしろばかま","紺屋の白袴"
"こんよう","根葉"
"こんようちん","昆陽鎮"
"こんよく","混浴"
"ごんら","今良"
"こんらっど","コンラッド"
"こんらっど","コンラッド"
"こんりゅう","根粒"
"こんりゅうばくてりあ","根粒バクテリア"
"こんりょう","今良"
"ごんりょう","今良"
"こんろん","崑崙"
"こんろんか","崑崙瓜"
"こんろんざん","崑崙山"
"こんろんさんこう","昆侖山口"
"こんろんさんみゃく","コンロン山脈"
"こんろんそう","コンロンソウ"
"こんろんど","崑崙奴"
"こんろんはっせん","崑崙八仙"
"こーんわるしゅう","コーンワル州"
"まー","マー"
"まあじ","マアジ"
"まありぶ","マアリブ"
"まありぶ","マアリブ"
"まありぶしゅう","マアリブ州"
"まあれあどみむ","マアレ・アドミム"
"まい","マイ"
"まいあ","マイア"
"まいあみ","マイアミ"
"まいあみでーどぐん","マイアミデード郡"
"まいあみびーち","マイアミ・ビーチ"
"まいあるじあ","マイアルジア"
"まいうぇー","マイウェー"
"まいうぇい","マイウェイ"
"まいうぇい","マイウェイ"
"まいえん","マイエン"
"まいお","マイオ"
"まいおかーだいてぃす","マイオカーダイテイス"
"まいおかーでぃあむ","マイオカーディアム"
"まいおきみあ","マイオキミア"
"まいおしす","マイオシス"
"まいおでそぷしあ","マイオデソプシア"
"まいおぱしー","マイオパシー"
"まいおぴあ","マイオピア"
"まいおふぁいばー","マイオファイバー"
"まいおーま","マイオーマ"
"まいおーるどけんたっきーほーむ","マイ・オールド・ケンタッキー・ホーム"
"まいか","マイカ"
"まいかい","マイ瑰"
"まいかいゆ","マイ瑰油"
"まいきね","舞い杵"
"まいぎね","舞い杵"
"まいぎり","舞錐"
"まいく","マイク"
"まいく","マイク"
"まいくら","マイクラ"
"まいぐらんと","マイグラント"
"まいぐれーしょん","マイグレーション"
"まいくろ","マイクロ"
"まいくろうえーぶ","マイクロウエーブ"
"まいくろぐらむ","マイクログラム"
"まいくろこずむ","マイクロコズム"
"まいくろこんぴゅーたー","マイクロコンピューター"
"まいくろさーじぇりー","マイクロサージェリー"
"まいくろさーじゃりー","マイクロサージャリー"
"まいくろすこーぷ","マイクロスコープ"
"まいくろとーむ","マイクロトーム"
"まいくろは","マイクロ波"
"まいくろはしょうしゃだん","マイクロ波照射弾"
"まいくろばーすと","マイクロバースト"
"まいくろふぃるむ","マイクロフィルム"
"まいくろりーだー","マイクロリーダー"
"まいける","マイケル"
"まいけるじゃくそん","マイケル・ジャクソン"
"まいこ","舞子"
"まいこえき","舞子駅"
"まいこのはま","舞子の浜"
"まいこぷらずま","マイコプラズマ"
"まいこん","マイコン"
"まいさか","舞阪"
"まいさかちょう","舞阪町"
"まいさんけん","マイサン県"
"まいさんしゅう","マイサン州"
"まいさーんしゅう","マイサーン州"
"まいじゅぐり","マイジュグリ"
"まいす","マイス"
"まいす","売僧"
"まいすう","埋芻"
"まいすたー","マイスター"
"まいすなー","マイスナー"
"まいそう","埋草"
"まいそーる","マイソール"
"まいそーるけん","マイソール県"
"まいそーるしゅう","マイソール州"
"まいたー","マイター"
"まいたえき","蒔田駅"
"まいたーぎあ","マイター・ギア"
"まいたーじょいんと","マイター・ジョイント"
"まいだのーず","マイダノーズ"
"まいたーはぐるま","マイター歯車"
"まいだま","まい玉"
"まいちーしゃん","マイチーシャン"
"まいちん","マイチン"
"まいづるし","舞鶴市"
"まいづるじょう","舞鶴城"
"まいてぃさいど","マイティサイド"
"まいてぃーまうす","マイティーマウス"
"まいどぅぐり","マイドゥグリ"
"まいどうろう","舞い灯籠"
"まいどらいあしす","マイドライアシス"
"まいなす","マイナス"
"まいなすいおん","マイナスイオン"
"まいなすきんり","マイナス金利"
"まいなすしこう","マイナス思考"
"まいなんばーせいど","マイナンバー制度"
"まいにちほうそう","毎日放送"
"まいねっけ","マイネッケ"
"まいのっと","マイノット"
"まいのりてぃー","マイノリティー"
"まいはだ","槙皮"
"まいはら","米原"
"まいばらえき","米原駅"
"まいはらし","米原市"
"まいはらちょう","米原町"
"まいふぇあれでぃ","マイ・フェア・レディ"
"まいぽー","マイポー"
"まいまい","マイマイ"
"まいまい","マイマイ"
"まいまいちょん","買売城"
"まいまいむし","マイマイムシ"
"まいます","マイマス"
"まいみーる","マイミール"
"まいむまいむ","マイム・マイム"
"まいめいしん","マイメイシン"
"まいめいしんけん","マイメイシン県"
"まいやーずびる","マイヤーズビル"
"まいよっととう","マイヨット島"
"まいらいん","マイライン"
"まいらいんぷらす","マイラインプラス"
"まいらこ","舞良子"
"まいらど","舞良戸"
"まいりばか","詣り墓"
"まいるどせぶん","マイルドセブン"
"まいれーじ","マイレージ"
"まいれーじさーびす","マイレージサービス"
"まいろ","マイロ"
"まいろばらん","マイロバラン"
"まいんかんぷ","マインカンプ"
"まいんつ","マインツ"
"まいんどねす","マインドネス"
"まいんどふるねす","マインドフルネス"
"まいんどんべこ","マインドンベ湖"
"まうえすかーぷめんと","マウエスカープメント"
"まうぉぽるすかけん","マウォポルスカ県"
"まうさ","マウサ"
"まうす","マウス"
"まうすおるがん","｢マウスオルガン"
"まうすぴーす","マウスピース"
"まうなけあ","マウナケア"
"まうなろあ","マウナロア"
"まうまう","マウマウ"
"まうまうだん","マウマウ団"
"まうるてぃあ","マウルティア"
"まうろうしあ","マウロウシア"
"まうんだーきょくしょうき","マウンダー極小期"
"まうんつわん","マウンツ湾"
"まうんてん","マウンテン"
"まうんてんず","マウンテンズ"
"まうんてんでゅー","マウンテンデュー"
"まうんてんでゅー","マウンテンデュー"
"まうんてんばいく","マウンテンバイク"
"まうんてんらいおん","マウンテンライオン"
"まうんと","マウント"
"まうんとあとすけん","マウントアトス県"
"まうんとえぐもんと","マウント・エグモント"
"まうんとはーげん","マウントハーゲン"
"まうんとばってん","マウントバッテン"
"まうんとれーにあ","マウント・レーニア"
"まうんとわん","マウント湾"
"まえ","マエ"
"まえあし","前足"
"まえいし","前石"
"まえお","前緒"
"まえかけ","前掛け"
"まえがしら","前頭"
"まえけなす","マエケナス"
"まえざし","前挿し"
"まえさわちょう","前沢町"
"まえす","マエス"
"まえだけ","前岳"
"まえだち","前立ち"
"まえだはん","前田藩"
"まえだみさき","真栄田岬"
"まえだれ","前垂れ"
"まえだれぼうこう","前垂れ奉公"
"まえつぼ","前壺"
"まえとう","マエ島"
"まえなんこん","マエナンコン"
"まえばしし","前橋市"
"まえばるし","前原市"
"まえみ","前身"
"まえみごろ","前身ごろ"
"まえむき","前向き"
"まえやく","前厄"
"まえやちえき","前谷地駅"
"まえわ","前輪"
"まお","真麻"
"まおあるかい","マオアルカイ"
"まおう","マオウ"
"まおう","魔王"
"まおうはじゅん","魔王波旬"
"まおけさんみゃく","マオケ山脈"
"まおたいしゅ","マオタイ酒"
"まおたいちゅー","マオタイチュー"
"まおらん","マオラン"
"まおりぞく","マオリ族"
"まおりらす","マオリラス"
"まおる","マオル"
"まおるてぃーあ","マオルティーア"
"まおるぶるふ","マオルブルフ"
"まおれとう","マオレ島"
"まが","禍"
"まーが","マーガ"
"まかお","マカオ"
"まかかしょう","摩訶迦葉"
"まがき","籬"
"まかげ","目蔭"
"まーかさいと","マーカサイト"
"まがじゃねす","マガジャネス"
"まがじゃねすかいきょう","マガジャネス海峡"
"まがしら","目頭"
"まがじんはうす","マガジンハウス"
"まがす","マガス"
"まがだ","マガダ"
"まがたま","曲玉"
"まかだみあなっつ","マカダミア・ナッツ"
"まかだむ","マカダム"
"まかだむどうろ","マカダム道路"
"まかだむほそうどうろ","マカダム舗装道路"
"まがだん","マガダン"
"まがだんしゅう","マガダン州"
"まかっさる","マカッサル"
"まかっさるかいきょう","マカッサル海峡"
"まかっさるはんとう","マカッサル半島"
"まがつひ","禍津日"
"まがつひのかみ","禍津日神"
"まかてぃし","マカティ市"
"まかでみあなっつ","マカデミア・ナッツ"
"まがな","真仮名"
"まがのい","マガノイ"
"まかぱ","マカパ"
"まかはじゃはだい","摩訶波闍波提"
"まかはじゃはだいびくに","摩訶波闍波提比丘尼"
"まかべ","真壁"
"まかべぐん","真壁郡"
"まかべまち","真壁町"
"まかまんじゅしゃげ","摩訶曼珠沙華"
"まかまんだらげ","曼陀羅華"
"まかーむ","マカーム"
"まかもっけんれん","摩訶目ケン連"
"まがやねす","マガヤネス"
"まがやねすかいきょう","マガヤネス海峡"
"まからじん","摩伽羅神"
"まかりー","マカリー"
"まがりがね","曲金"
"まがりじゃく","曲尺"
"まがりねぎ","曲がりネギ"
"まがりや","曲屋"
"まがりゃねす","マガリャネス"
"まがりゃねすかいきょう","マガリャネス海峡"
"まがりゃんいす","マガリャンイス"
"まーがりん","マーガリン"
"まかるー","マカルー"
"まがーる","マガール"
"まかれー","マカレー"
"まがれいと","マガレイト"
"まかれすたー","マカレスター"
"まーがれってん","マーガレッテン"
"まーがれっと","マーガレット"
"まーがれっと","マーガレット"
"まーがれっとおうじょ","マーガレット王女"
"まかろにうえすたん","マカロニ・ウエスタン"
"まかろふかいぼん","マカロフ海盆"
"まかろふちゅうじょう","マカロフ中将"
"まかろん","マカロン"
"まーかんたいる","マーカンタイル"
"まーかんど","マーカンド"
"まかんむり","麻冠"
"まき","まき"
"まき","マキ"
"まき","牧"
"まき","真木"
"まーきー","マーキー"
"まぎ","マギ"
"まぎー","マギー"
"まきあヴぇり","マキアヴェリ"
"まきあべり","マキアベリ"
"まきあみ","まき網"
"まきおかちょう","牧丘町"
"まきおち","牧落"
"まきおちえき","牧落駅"
"まきかご","巻籠"
"まきがしらくぎ","巻頭釘"
"まきかなぐ","巻き金具"
"まきかなもの","巻き金物"
"まきく","牧区"
"まきぐちえき","牧口駅"
"まきぐも","巻雲"
"まきげ","巻き毛"
"まきげーとる","巻きゲートル"
"まきし","マキシ"
"まきしま","マキシマ"
"まきしま","マキシマ"
"まきしまむ","マキシマム"
"まきしむ","マキシム"
"まきしむ","マキシム"
"まきしむじゅう","マキシム銃"
"まーきーぜ","マーキーゼ"
"まきせん","巻き線"
"まきぞい","巻き添い"
"まきぞえ","巻き添え"
"まきて","巻き手"
"まきのお","槙尾"
"まきのちょう","マキノ町"
"まきのはら","牧ノ原"
"まきのはらし","牧之原市"
"まきのはらだいち","牧ノ原台地"
"まきはたやま","巻機山"
"まきばのあさ","牧場の朝"
"まきびし","撒き菱"
"まきべりー","マキベリー"
"まきまち","巻町"
"まきむく","巻向"
"まきむくえき","巻向駅"
"まきむくがわ","纒向川"
"まきむくこふんぐん","纒向古墳群"
"まきむくのたまきのみや","纏向珠城宮"
"まきむくのひしろのみや","纏向日代宮"
"まきむくやま","巻向山"
